ingredient,Added sugars,Calcium,Carbohydrate,Cholesterol,Choline,Copper,Fiber,Folate,Iron,Magnesium,Manganese,Niacin,Pantothenic acid,Phosphorus,Potassium,Protein,Riboflavin,Saturated fat,Selenium,Sodium,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Zinc
burrito,0,5,12,6,0,0,4,0,12,0,0,0,0,0,0,19,0,0,0,18,0,26,0,0,4,0,0,0,0
butter,0,2,1,0,0,0,4,0,7,0,0,0,0,0,0,2,0,0,0,0,0,392,0,0,5,0,0,0,0
buttermilk,0,9,2,2,3,0,0,1,0,3,0,1,0,7,3,7,15,2,4,4,4,4,9,2,1,2,0,0,4
cabbage,0,3,1,0,3,3,6,13,14,3,0,7,0,2,3,2,16,0,1,22,1,10,0,13,0,0,1,36,2
cake,85,2,21,8,0,0,0,0,6,0,0,0,0,0,1,7,0,0,0,18,0,0,0,0,0,0,0,0,0
calvados,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,29,0,0,0,19,0,60,0,0,0,0,0,0,0
cambridge,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
campari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camping,0,9,9,17,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,65,0,0,0,0,0,0,0
candy,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
cantaloupe,0,1,3,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,1,0,414,0,0,40,0,0,0,0
capers,0,0,2,0,0,0,24,0,7,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,4,0,0,0,0
caraway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cardamom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carrot,0,3,4,0,1,6,10,10,1,3,0,7,0,3,5,2,8,0,0,3,4,85,0,8,5,0,4,9,2
cashew,0,5,11,0,9,195,11,14,27,49,0,7,0,31,10,24,12,51,17,13,13,0,0,12,0,0,34,25,40
cauliflower,0,2,2,0,0,0,9,0,3,0,0,0,0,0,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0
caviar,0,21,1,196,89,12,0,12,66,71,0,1,0,28,4,49,48,20,119,65,16,30,833,19,0,14,13,0,9
celery,0,3,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,9,0,0,0,0
chambord,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
champagne,0,1,4,0,1,4,0,2,1,2,0,1,0,1,2,0,1,0,0,0,2,0,0,3,4,0,0,0,1
chard,0,4,1,1,3,21,6,3,10,20,0,2,0,4,8,4,7,3,2,15,3,35,0,7,24,0,16,722,3
chartreuse,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cheddar,0,55,0,30,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,28,0,0,0,0,0,0,0,0,0
cheese,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,26,0,20,0,0,0,0,0,0,0
cherry,0,3,15,0,0,0,7,0,8,0,0,0,0,0,0,8,0,0,0,9,0,111,0,0,0,0,0,0,0
chestnut,0,0,16,0,0,0,21,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,27,0,0,0,0
chicago,0,49,1,30,0,0,0,0,0,0,0,0,0,0,2,43,0,0,0,33,0,0,0,0,0,0,0,0,0
chicken,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,8,0,0,0,0,0,0,0,0,0
chickpea,0,8,22,0,0,0,61,0,34,0,0,0,0,0,0,38,0,0,0,1,0,6,0,0,4,0,0,0,0
chili,0,1,3,5,0,0,3,0,3,0,0,0,0,0,0,14,0,0,0,18,0,24,0,0,0,0,0,0,0
chill,0,1,4,0,1,5,1,5,1,3,1,2,4,1,4,1,3,0,0,0,4,5,0,4,37,0,1,0,1
chive,0,7,2,0,1,17,9,26,9,10,0,4,0,5,6,7,9,1,2,0,6,24,0,8,65,0,1,177,5
chocolate,0,0,17,0,0,0,10,0,24,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0
christmas,0,1,31,0,2,17,9,650,110,13,0,136,7,13,4,9,142,14,12,31,137,16,0,128,0,0,3,1,149
cilantro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cinnamon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
citrus,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
clam,0,3,4,8,8,8,4,6,7,5,0,14,0,12,4,24,8,11,38,20,13,7,168,9,18,1,5,7,7
clove,0,49,24,0,7,41,121,6,66,62,2613,10,10,8,22,12,17,19,13,12,13,18,0,23,0,0,59,118,21
cocktail,0,4,3,40,14,22,1,4,2,6,0,11,0,19,4,26,2,1,52,22,2,6,37,9,3,0,10,1,9
coconut,0,0,17,0,0,0,13,0,11,0,0,0,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0
cod,0,3,2,11,0,0,2,0,5,0,0,0,0,0,0,25,0,0,0,18,0,13,0,0,4,0,0,0,0
coffee,0,4,8,36,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,99,0,0,0,0,0,0,0
columbus,0,0,1,30,0,0,0,0,7,0,0,0,0,0,0,50,0,0,0,65,0,0,0,0,5,0,0,0,0
condiment,0,0,23,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
cookie,9,10,17,0,0,0,8,0,9,0,0,0,0,0,0,43,0,0,0,20,0,0,0,0,0,0,0,0,0
cookies,0,5,19,0,0,0,0,0,14,0,0,0,0,0,0,7,0,0,0,9,0,199,0,0,0,0,0,0,0
coriander,0,55,20,0,0,108,150,0,91,79,83,13,0,33,27,25,22,5,48,2,20,0,0,0,23,0,0,0,43
corn,10,0,5,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,10,0,0,0,0,0,0,0,0,0
cornmeal,0,0,28,0,0,0,26,0,14,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0
couscous,0,3,28,0,0,0,16,0,12,0,0,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0
crab,0,7,0,32,15,90,0,13,3,9,0,17,0,19,6,36,7,1,78,17,2,0,139,9,4,0,12,0,35
cranberry,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,0,0,0,0
crêpe,19,0,10,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,13,0,0,0,0,0,0,0,0,0
cucumber,0,1,2,0,1,5,2,2,0,2,0,0,0,2,3,1,2,0,1,10,2,0,0,2,3,0,0,12,1
cumin,0,72,16,0,4,96,38,2,369,87,145,29,0,40,38,36,25,8,9,7,52,141,0,26,9,0,22,5,44
cupcake,0,4,18,5,0,0,6,0,8,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0,0,0,0,0,0
currant,0,7,28,0,2,33,16,2,10,9,0,10,0,8,17,7,11,0,1,2,13,0,0,17,5,0,1,3,3
curry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
custard,0,9,4,27,11,0,0,2,2,3,0,1,0,10,3,10,15,8,13,4,4,9,17,3,0,7,1,0,5
dairy,0,8,2,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,14,0,0,1,210,0,0,0
dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965,0,0,0,0,0,0,0,0,0
date,0,3,27,0,1,23,29,5,6,10,0,8,0,5,14,5,5,0,5,0,4,0,0,10,0,0,0,2,3
denver,0,1,0,23,13,8,0,1,13,5,1,21,17,14,7,38,15,26,39,3,7,1,121,24,0,25,1,1,67
dessert,0,6,8,15,5,1,0,2,0,2,0,1,0,8,2,12,15,39,14,7,3,18,11,2,0,2,2,1,4
